country,year,age,mortality
Iran,2014,5-9,0.0013160059220266491
Italy,2014,5-9,3.5124692658939234e-4
Kenya,2014,5-9,0.006766917293233083
Mexico,2014,5-9,0.0014276791291157312
Nigeria,2014,5-9,0.03339409688554474
Peru,2014,5-9,0.0030653950953678476
Poland,2014,5-9,5.154639175257732e-4
South Africa,2014,5-9,0.004658963846440552
Spain,2014,5-9,4.079967360261118e-4
United States of America,2014,5-9,5.723825423324589e-4
Argentina,2015,0-4,0.013997308209959623
Brazil,2015,0-4,0.018869214466397756
France,2015,0-4,0.004109940919599281
Germany,2015,0-4,0.004008016032064128
Iran,2015,0-4,0.016985749244278106
Italy,2015,0-4,0.0037893141341417205
Kenya,2015,0-4,0.05855599772598067
Mexico,2015,0-4,0.017714082250311555
Nigeria,2015,0-4,0.12883849415392523
Peru,2015,0-4,0.018571428571428572
Poland,2015,0-4,0.005291005291005291
South Africa,2015,0-4,0.04423109891993828
Spain,2015,0-4,0.003576218149307108
United States of America,2015,0-4,0.007022471910112359
Argentina,2015,10-14,0.0014104372355430183
Brazil,2015,10-14,0.001783956692913386
France,2015,10-14,5.049229992426155e-4
Germany,2015,10-14,5.250721974271463e-4
Iran,2015,10-14,0.0014365236128568864
Italy,2015,10-14,3.534817956875221e-4
Kenya,2015,10-14,0.004965243296921549
Mexico,2015,10-14,0.0018620322752261039
Nigeria,2015,10-14,0.016973378595676256
Peru,2015,10-14,0.0017908309455587394
Poland,2015,10-14,5.668934240362812e-4
South Africa,2015,10-14,0.003886275311924729
Spain,2015,10-14,4.492362982929021e-4
United States of America,2015,10-14,7.229960958210826e-4
Argentina,2015,15-19,0.003725995987388937
Brazil,2015,15-19,0.005563927205285731
France,2015,15-19,0.0013065064018813691
Germany,2015,15-19,0.0011876484560570072
Iran,2015,15-19,0.003197158081705151
Italy,2015,15-19,0.0010589481115425344
Kenya,2015,15-19,0.00794401361830906
Mexico,2015,15-19,0.004073872895165671
Nigeria,2015,15-19,0.026393433828657262
Peru,2015,15-19,0.004398826979472141
Poland,2015,15-19,0.002002002002002002
South Africa,2015,15-19,0.006795716639209226
Spain,2015,15-19,8.976660682226212e-4
United States of America,2015,15-19,0.002382064455861747
Argentina,2015,5-9,0.0011111111111111111
Brazil,2015,5-9,0.001336898395721925
France,2015,5-9,5.031446540880503e-4
Germany,2015,5-9,5.701254275940707e-4
Iran,2015,5-9,0.0012843152994060042
Italy,2015,5-9,3.5198873636043646e-4
Kenya,2015,5-9,0.006652868125369604
Mexico,2015,5-9,0.0014331780723754925
Nigeria,2015,5-9,0.0325938824954573
Peru,2015,5-9,0.003036437246963563
Poland,2015,5-9,5.022601707684581e-4
South Africa,2015,5-9,0.0045438022537259174
Spain,2015,5-9,4.0096230954290296e-4
United States of America,2015,5-9,5.713469504356521e-4
Argentina,2016,0-4,0.012032085561497326
Brazil,2016,0-4,0.015373103870485
France,2016,0-4,0.003367875647668394
Germany,2016,0-4,0.004162042175360711
Iran,2016,0-4,0.015967217747633176
Italy,2016,0-4,0.0027216174183514776
Kenya,2016,0-4,0.04936510201169925
Mexico,2016,0-4,0.015447443181818182
Nigeria,2016,0-4,0.11466809085482706
Peru,2016,0-4,0.016617429837518464
Poland,2016,0-4,0.003852504127682994
South Africa,2016,0-4,0.035769561478933794
Spain,2016,0-4,0.0028462998102466793
United States of America,2016,0-4,0.0068384792038785405
Argentina,2016,10-14,0.0011251758087201125
Brazil,2016,10-14,0.0015020653398422831
France,2016,10-14,5.042864346949068e-4
Germany,2016,10-14,2.6322716504343247e-4
Iran,2016,10-14,0.0010604453870625664
Italy,2016,10-14,3.51000351000351e-4
Kenya,2016,10-14,0.003713870498950428
Mexico,2016,10-14,0.0017752529735487307
Nigeria,2016,10-14,0.01700134449407989
Peru,2016,10-14,0.0014524328249818446
Poland,2016,10-14,5.611672278338945e-4
South Africa,2016,10-14,0.0040104271104872665
Spain,2016,10-14,4.399472063352398e-4
United States of America,2016,10-14,7.187005893344833e-4
Argentina,2016,15-19,0.003728133065672498
Brazil,2016,15-19,0.0053113873810774525
France,2016,15-19,0.0013041210224308817
Germany,2016,15-19,0.0014234875444839859
Iran,2016,15-19,0.002177463255307567
Italy,2016,15-19,0.001055594651653765
Kenya,2016,15-19,0.006611570247933884
Mexico,2016,15-19,0.0038875327728053522
Nigeria,2016,15-19,0.027166276346604217
Peru,2016,15-19,0.0037078235076010383
Poland,2016,15-19,0.0015657620041753654
South Africa,2016,15-19,0.00640495867768595
Spain,2016,15-19,9.009009009009009e-4
United States of America,2016,15-19,0.0026246719160104987
Argentina,2016,5-9,8.294166436273154e-4
Brazil,2016,5-9,0.0011502808038432912
France,2016,5-9,2.516989680342311e-4
Germany,2016,5-9,2.82326369282891e-4
Iran,2016,5-9,9.394081728511038e-4
Italy,2016,5-9,3.5310734463276836e-4
Kenya,2016,5-9,0.004518291794199096
Mexico,2016,5-9,0.001256055984209582
Nigeria,2016,5-9,0.031254607106000296
Peru,2016,5-9,0.002398081534772182
Poland,2016,5-9,4.957858205255329e-4
South Africa,2016,5-9,0.004627981488074048
Spain,2016,5-9,3.992015968063872e-4
United States of America,2016,5-9,5.718915312395749e-4
Argentina,2017,0-4,0.012
Brazil,2017,0-4,0.01536892213532812
France,2017,0-4,0.0034174553101997897
Germany,2017,0-4,0.0040192926045016075
Iran,2017,0-4,0.0155776123518059
Italy,2017,0-4,0.002793296089385475
Kenya,2017,0-4,0.04947097512153274
Mexico,2017,0-4,0.01549973276322822
Nigeria,2017,0-4,0.11261261261261261
Peru,2017,0-4,0.0166358595194085
Poland,2017,0-4,0.003869541182974019
South Africa,2017,0-4,0.03583735354927636
Spain,2017,0-4,0.0029354207436399216
United States of America,2017,0-4,0.006880616174582799
Argentina,2017,10-14,0.001122334455667789
Brazil,2017,10-14,0.0015292468459283802
France,2017,10-14,5.03651473180559e-4
Germany,2017,10-14,2.636435539151068e-4
Iran,2017,10-14,0.0010391409767925182
Italy,2017,10-14,3.4928396786587494e-4
Kenya,2017,10-14,0.003624901497241923
Mexico,2017,10-14,0.0017798344753937885
Nigeria,2017,10-14,0.01651569412260375
Peru,2017,10-14,0.0014646649578908824
Poland,2017,10-14,5.47945205479452e-4
South Africa,2017,10-14,0.003914660403210021
Spain,2017,10-14,4.278990158322636e-4
United States of America,2017,10-14,7.144558228149559e-4
Argentina,2017,15-19,0.0037185354691075517
Brazil,2017,15-19,0.00536714833382483
France,2017,15-19,0.0013014055179593961
Germany,2017,15-19,0.001426872770511296
Iran,2017,15-19,0.0022026431718061676
Italy,2017,15-19,0.0010515247108307045
Kenya,2017,15-19,0.0064400715563506265
Mexico,2017,15-19,0.0038731760043235453
Nigeria,2017,15-19,0.026303854875283448
Peru,2017,15-19,0.0037778617302606727
Poland,2017,15-19,0.0016295491580662683
South Africa,2017,15-19,0.006416890912854482
Spain,2017,15-19,9.053870529651426e-4
United States of America,2017,15-19,0.0026303428839830906
Argentina,2017,5-9,8.246289169873557e-4
Brazil,2017,5-9,0.0011589855467684755
France,2017,5-9,2.5201612903225806e-4
Germany,2017,5-9,2.7831895352073476e-4
Iran,2017,5-9,9.182736455463728e-4
Italy,2017,5-9,3.562522265764161e-4
Kenya,2017,5-9,0.004475887958417557
Mexico,2017,5-9,0.0012554927809165098
Nigeria,2017,5-9,0.03043571890029431
Peru,2017,5-9,0.0024535576586049773
Poland,2017,5-9,4.965243296921549e-4
South Africa,2017,5-9,0.004556607080266386
Spain,2017,5-9,4.037141703673799e-4
United States of America,2017,5-9,5.759262814359762e-4
Argentina,2018,0-4,0.01200640341515475
Brazil,2018,0-4,0.015422410263409307
France,2018,0-4,0.0034815211569362613
Germany,2018,0-4,0.003876970793486689
Iran,2018,0-4,0.015184090298306906
Italy,2018,0-4,0.0028665028665028664
Kenya,2018,0-4,0.04947804947804948
Mexico,2018,0-4,0.015622194289818639
Nigeria,2018,0-4,0.11088495306376644
Peru,2018,0-4,0.01632208922742111
Poland,2018,0-4,0.0037981551817688553
South Africa,2018,0-4,0.035886818495514144
Spain,2018,0-4,0.002962962962962963
United States of America,2018,0-4,0.006867568675686757
Argentina,2018,10-14,0.0011198208286674132
Brazil,2018,10-14,0.001557329180455519
France,2018,10-14,5.026388539834129e-4
Germany,2018,10-14,2.636435539151068e-4
Iran,2018,10-14,0.0010145417653026716
Italy,2018,10-14,3.484320557491289e-4
Kenya,2018,10-14,0.003541185527328714
Mexico,2018,10-14,0.001786033220217896
Nigeria,2018,10-14,0.01605307342643024
Peru,2018,10-14,0.0014678899082568807
Poland,2018,10-14,5.307855626326964e-4
South Africa,2018,10-14,0.003811701924909472
Spain,2018,10-14,4.1459369817578774e-4
United States of America,2018,10-14,7.108330963889679e-4
Argentina,2018,15-19,0.003701594533029613
Brazil,2018,15-19,0.005438355345724019
France,2018,15-19,0.0012976901116013497
Germany,2018,15-19,0.0014354066985645933
Iran,2018,15-19,0.002207505518763797
Italy,2018,15-19,0.001047851903597625
Kenya,2018,15-19,0.0062871114215857496
Mexico,2018,15-19,0.0038544281104338474
Nigeria,2018,15-19,0.02543859649122807
Peru,2018,15-19,0.003878975950349108
Poland,2018,15-19,0.0016853932584269663
South Africa,2018,15-19,0.006412908564335954
Spain,2018,15-19,9.082652134423251e-4
United States of America,2018,15-19,0.0026335590669676447
Argentina,2018,5-9,8.19000819000819e-4
Brazil,2018,5-9,0.001162552143882924
France,2018,5-9,2.5271670457417233e-4
Germany,2018,5-9,2.731494127287626e-4
Iran,2018,5-9,8.999550022498875e-4
Italy,2018,5-9,3.6114120621162876e-4
Kenya,2018,5-9,0.004455943653873796
Mexico,2018,5-9,0.0012525722465777937
Nigeria,2018,5-9,0.02966279557856443
Peru,2018,5-9,0.002527988443481401
Poland,2018,5-9,5.047955577990914e-4
South Africa,2018,5-9,0.004512322110378341
Spain,2018,5-9,4.1476565740356696e-4
United States of America,2018,5-9,5.82977069568597e-4
Argentina,2019,0-4,0.012025654730090861
Brazil,2019,0-4,0.015509195717814988
France,2019,0-4,0.0035431997819569366
Germany,2019,0-4,0.003761283851554664
Iran,2019,0-4,0.014901753923249373
Italy,2019,0-4,0.002938706968933669
Kenya,2019,0-4,0.04935805991440799
Mexico,2019,0-4,0.015759442079521783
Nigeria,2019,0-4,0.10924872792577073
Peru,2019,0-4,0.01601423487544484
Poland,2019,0-4,0.003727369542066028
South Africa,2019,0-4,0.035948842032492226
Spain,2019,0-4,0.002974714923153198
United States of America,2019,0-4,0.006835339726586411
Argentina,2019,10-14,0.0011163829193413341
Brazil,2019,10-14,0.0015840538578311663
France,2019,10-14,5.016302984700275e-4
Germany,2019,10-14,2.632964718272775e-4
Iran,2019,10-14,9.89282769991756e-4
Italy,2019,10-14,3.485535029627048e-4
Kenya,2019,10-14,0.0034690799396681748
Mexico,2019,10-14,0.0017921146953405018
Nigeria,2019,10-14,0.015614419438358893
Peru,2019,10-14,0.001470047776552738
Poland,2019,10-14,5.151983513652757e-4
South Africa,2019,10-14,0.0037160906726124115
Spain,2019,10-14,4.043671653861706e-4
United States of America,2019,10-14,7.09286930206166e-4
Argentina,2019,15-19,0.003685851998865892
Brazil,2019,15-19,0.005521174614731222
France,2019,15-19,0.0012923235978288964
Germany,2019,15-19,0.0014457831325301205
Iran,2019,15-19,0.0021953896816684962
Italy,2019,15-19,0.0010449320794148381
Kenya,2019,15-19,0.006139154160982265
Mexico,2019,15-19,0.0038403143699205144
Nigeria,2019,15-19,0.024605232147065757
Peru,2019,15-19,0.003992015968063872
Poland,2019,15-19,0.0017211703958691911
South Africa,2019,15-19,0.006379913562461412
Spain,2019,15-19,9.049773755656109e-4
United States of America,2019,15-19,0.002635294117647059
Argentina,2019,5-9,8.130081300813008e-4
Brazil,2019,5-9,0.0011631089217296114
France,2019,5-9,2.5393600812595224e-4
Germany,2019,5-9,2.6737967914438503e-4
Iran,2019,5-9,8.831321754489255e-4
Italy,2019,5-9,3.675119441381845e-4
Kenya,2019,5-9,0.004450186620729256
Mexico,2019,5-9,0.0012495537308104248
Nigeria,2019,5-9,0.028959770507479
Peru,2019,5-9,0.0026129152668906306
Poland,2019,5-9,5.17063081695967e-4
South Africa,2019,5-9,0.004485852311939268
Spain,2019,5-9,4.3010752688172043e-4
United States of America,2019,5-9,5.914826498422713e-4
Argentina,2020,0-4,0.012044967880085654
Brazil,2020,0-4,0.015613126079447323
France,2020,0-4,0.0035911602209944752
Germany,2020,0-4,0.003696402168555939
Iran,2020,0-4,0.014796386015451093
Italy,2020,0-4,0.0030120481927710845
Kenya,2020,0-4,0.0491198182850653
Mexico,2020,0-4,0.01587736107309061
Nigeria,2020,0-4,0.10754906005068066
Peru,2020,0-4,0.015884221673138015
Poland,2020,0-4,0.003713527851458886
South Africa,2020,0-4,0.03607979184735473
Spain,2020,0-4,0.003015075376884422
United States of America,2020,0-4,0.006810327302297215
Argentina,2020,10-14,0.0011120378092855157
Brazil,2020,10-14,0.0016062106813010306
France,2020,10-14,5.005005005005005e-4
Germany,2020,10-14,2.623983206507478e-4
Iran,2020,10-14,9.649404953361209e-4
Italy,2020,10-14,0.00035001750087504374
Kenya,2020,10-14,0.0034144893111638956
Mexico,2020,10-14,0.001795170990036801
Nigeria,2020,10-14,0.015198511166253101
Peru,2020,10-14,0.001483679525222552
Poland,2020,10-14,5.065856129685917e-4
South Africa,2020,10-14,0.00363901018922853
Spain,2020,10-14,4.0032025620496394e-4
United States of America,2020,10-14,7.112375533428165e-4
Argentina,2020,15-19,0.003672316384180791
Brazil,2020,15-19,0.005611049451227031
France,2020,15-19,0.001286008230452675
Germany,2020,15-19,0.0014566642388929353
Iran,2020,15-19,0.00216998191681736
Italy,2020,15-19,0.001043115438108484
Kenya,2020,15-19,0.005989020129762102
Mexico,2020,15-19,0.0038358608385370206
Nigeria,2020,15-19,0.023824737562756732
Peru,2020,15-19,0.004100041000410004
Poland,2020,15-19,0.001729106628242075
South Africa,2020,15-19,0.00630979035212701
Spain,2020,15-19,8.936550491510277e-4
United States of America,2020,15-19,0.0026361625005884293
Argentina,2020,5-9,8.086253369272237e-4
Brazil,2020,5-9,0.0011642240788933022
France,2020,5-9,2.5588536335721597e-4
Germany,2020,5-9,2.6164311878597594e-4
Iran,2020,5-9,8.659258190215039e-4
Italy,2020,5-9,3.7439161362785476e-4
Kenya,2020,5-9,0.004448270914047927
Mexico,2020,5-9,0.0012487735260012487
Nigeria,2020,5-9,0.028347930734773017
Peru,2020,5-9,0.002679938744257274
Poland,2020,5-9,5.263157894736842e-4
South Africa,2020,5-9,0.004467353951890034
Spain,2020,5-9,4.4543429844097997e-4
United States of America,2020,5-9,5.986530306809678e-4
