"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Tunisia","7,800 [4,200 - 12,500]","1.0% [0.7% - 1.4%]","1.5% [1.2% - 1.9%]","2.1% [1.6% - 2.5%]","6.2% [5.5% - 6.9%]","14.3% [13.1% - 15.7%]","74.8% [73.3% - 76.3%]"
"United Arab Emirates","100 [0 - 200]","12.3% [5.3% - 19.5%]","42.0% [31.9% - 52.3%]","11.7% [5.5% - 19.0%]","17.4% [10.3% - 25.1%]","8.8% [3.2% - 14.8%]","7.9% [2.9% - 14.1%]"
"Yemen","3,000 [2,600 - 3,300]","4.4% [3.5% - 5.2%]","10.9% [9.8% - 12.1%]","7.0% [6.1% - 8.0%]","16.4% [15.0% - 17.8%]","21.4% [19.9% - 23.0%]","39.9% [38.0% - 41.9%]"
"Albania","100 [0 - 200]","3.3% [0.0% - 8.2%]","8.5% [2.3% - 15.7%]","4.6% [0.0% - 9.7%]","15.8% [7.4% - 25.6%]","14.5% [6.4% - 23.5%]","53.3% [40.6% - 65.3%]"
"Andorra","0 [0 - 100]","0.9% [0.0% - 0.1%]","5.3% [0.0% - 100.0%]","1.8% [0.0% - 0.1%]","14.0% [0.0% - 100.0%]","10.7% [0.0% - 100.0%]","67.3% [0.0% - 100.0%]"
"Armenia","300 [100 - 600]","2.2% [0.4% - 4.1%]","8.3% [4.9% - 12.0%]","3.7% [1.5% - 6.2%]","15.2% [11.0% - 19.6%]","13.5% [9.5% - 17.7%]","57.1% [51.1% - 63.0%]"
"Austria","300 [100 - 600]","3.4% [1.4% - 5.9%]","10.6% [6.9% - 14.7%]","5.1% [2.6% - 7.8%]","16.6% [12.3% - 20.7%]","14.0% [10.0% - 18.2%]","50.2% [44.3% - 56.3%]"
"Azerbaijan","600 [300 - 1,100]","2.2% [1.1% - 3.6%]","12.3% [9.5% - 15.2%]","3.9% [2.4% - 5.8%]","17.6% [14.1% - 21.0%]","13.2% [10.3% - 16.2%]","50.8% [46.5% - 55.0%]"
"Belgium","1,100 [500 - 2,200]","4.1% [2.9% - 5.5%]","13.0% [10.9% - 15.1%]","6.5% [4.8% - 8.1%]","18.1% [15.6% - 20.5%]","15.4% [13.1% - 17.8%]","42.9% [39.8% - 45.7%]"
"Bosnia and Herzegovina","100 [0 - 300]","1.5% [0.0% - 4.3%]","8.5% [3.7% - 14.1%]","2.6% [0.0% - 6.0%]","15.2% [9.2% - 22.3%]","10.1% [4.6% - 15.7%]","62.1% [52.6% - 71.5%]"
"Croatia","200 [0 - 400]","3.3% [0.7% - 6.4%]","16.9% [11.1% - 23.4%]","5.6% [2.1% - 9.3%]","21.1% [14.5% - 28.2%]","12.1% [6.3% - 17.5%]","41.0% [33.3% - 49.7%]"
"Cyprus","0 [0 - 100]","4.0% [0.0% - 25.0%]","13.0% [0.0% - 40.0%]","5.5% [0.0% - 28.6%]","18.0% [0.0% - 50.0%]","14.7% [0.0% - 45.6%]","44.9% [0.0% - 83.4%]"
"Denmark","100 [0 - 300]","5.9% [2.1% - 10.5%]","22.9% [15.8% - 30.5%]","8.0% [3.2% - 13.3%]","21.8% [14.4% - 30.5%]","13.3% [7.3% - 19.2%]","28.2% [20.2% - 37.5%]"
"England & Wales","10,400 [10,200 - 10,600]","4.2% [3.9% - 4.4%]","10.2% [9.9% - 10.4%]","6.6% [6.3% - 6.9%]","16.9% [16.6% - 17.2%]","16.4% [15.9% - 16.9%]","45.8% [45.1% - 46.3%]"
"Estonia","100 [0 - 100]","3.2% [0.0% - 9.6%]","17.8% [7.1% - 29.3%]","6.1% [0.0% - 14.0%]","21.3% [9.9% - 34.0%]","13.0% [3.8% - 24.2%]","38.6% [24.3% - 52.2%]"
"Finland","0 [0 - 100]","5.7% [0.0% - 17.7%]","15.5% [0.0% - 33.4%]","9.0% [0.0% - 25.0%]","19.4% [3.8% - 39.2%]","16.4% [0.0% - 33.4%]","33.9% [13.3% - 55.6%]"
"France","5,300 [5,100 - 5,500]","3.2% [2.9% - 3.5%]","8.4% [8.0% - 8.7%]","5.6% [5.3% - 6.0%]","15.2% [14.7% - 15.5%]","17.6% [16.8% - 18.4%]","50.0% [49.2% - 50.9%]"
"Georgia","900 [400 - 1,700]","2.6% [1.5% - 3.7%]","9.1% [7.2% - 11.3%]","4.7% [3.3% - 6.2%]","16.3% [13.7% - 19.0%]","14.0% [11.5% - 16.8%]","53.2% [49.5% - 57.1%]"
"Germany","2,400 [2,200 - 2,500]","3.4% [3.0% - 3.9%]","10.0% [9.4% - 10.5%]","5.2% [4.7% - 5.7%]","16.1% [15.7% - 16.6%]","15.0% [14.1% - 15.9%]","50.2% [49.2% - 51.4%]"
"Greece","200 [0 - 400]","3.1% [0.7% - 6.1%]","17.6% [12.0% - 24.0%]","5.3% [2.0% - 9.1%]","21.6% [15.3% - 28.5%]","12.3% [7.5% - 17.2%]","40.1% [32.9% - 47.6%]"
"Iceland","0 [0 - 100]","5.1% [0.0% - 100.0%]","13.4% [0.0% - 100.0%]","7.6% [0.0% - 100.0%]","18.6% [0.0% - 100.0%]","17.2% [0.0% - 100.0%]","38.1% [0.0% - 100.0%]"
"Ireland","300 [100 - 500]","5.1% [2.5% - 8.2%]","7.8% [4.5% - 11.4%]","7.7% [4.7% - 11.3%]","12.8% [8.5% - 17.4%]","22.9% [17.7% - 28.4%]","43.6% [37.9% - 49.8%]"
"Israel","5,700 [3,500 - 8,200]","3.6% [2.9% - 4.3%]","5.4% [4.6% - 6.1%]","5.9% [5.2% - 6.7%]","11.5% [10.5% - 12.5%]","22.6% [21.1% - 24.1%]","51.1% [49.5% - 52.8%]"
"Italy","3,800 [3,600 - 3,900]","2.3% [2.0% - 2.6%]","7.8% [7.5% - 8.1%]","4.4% [4.1% - 4.8%]","15.1% [14.7% - 15.5%]","15.1% [14.3% - 15.7%]","55.4% [54.5% - 56.2%]"
"Kazakhstan","6,600 [3,500 - 10,700]","2.4% [1.9% - 2.9%]","8.2% [7.3% - 9.0%]","4.5% [3.9% - 5.1%]","14.7% [13.6% - 15.8%]","16.0% [14.8% - 17.2%]","54.3% [52.7% - 55.8%]"
"Kosovo","200 [100 - 500]","3.3% [1.0% - 5.9%]","14.9% [10.3% - 19.9%]","5.3% [2.5% - 8.8%]","18.9% [13.7% - 24.6%]","15.8% [11.1% - 20.5%]","41.8% [35.1% - 48.9%]"
"Kyrgyzstan","1,600 [900 - 2,400]","3.1% [2.1% - 4.0%]","10.5% [8.9% - 12.1%]","5.4% [4.1% - 6.6%]","16.7% [14.8% - 18.7%]","16.2% [14.1% - 18.2%]","48.2% [45.3% - 50.9%]"
"Latvia","100 [0 - 300]","2.8% [0.0% - 5.9%]","16.9% [10.7% - 23.3%]","4.8% [1.5% - 8.7%]","21.5% [14.7% - 28.6%]","11.0% [6.0% - 16.7%]","43.0% [34.2% - 51.4%]"
"Liechtenstein","0 [0 - 100]","10.6% [0.0% - 100.0%]","6.6% [0.0% - 100.0%]","12.5% [0.0% - 100.0%]","10.2% [0.0% - 100.0%]","28.4% [0.0% - 100.0%]","31.7% [0.0% - 100.0%]"
"Lithuania","200 [100 - 500]","2.3% [0.5% - 4.6%]","9.4% [5.4% - 13.6%]","4.0% [1.4% - 7.1%]","16.6% [11.6% - 21.3%]","12.6% [8.3% - 17.1%]","55.1% [48.5% - 61.7%]"
"Luxembourg","0 [0 - 100]","9.7% [0.0% - 27.3%]","14.1% [0.0% - 35.4%]","11.6% [0.0% - 33.4%]","15.0% [0.0% - 33.4%]","20.7% [0.0% - 44.5%]","28.9% [7.1% - 53.4%]"
"Malta","0 [0 - 100]","6.1% [0.0% - 25.0%]","17.7% [0.0% - 44.5%]","8.7% [0.0% - 30.0%]","21.3% [0.0% - 50.0%]","13.5% [0.0% - 42.9%]","32.7% [0.0% - 64.8%]"
"Monaco","0 [0 - 100]","20.4% [0.0% - 100.0%]","14.7% [0.0% - 100.0%]","22.7% [0.0% - 100.0%]","11.6% [0.0% - 100.0%]","19.2% [0.0% - 100.0%]","11.4% [0.0% - 100.0%]"
"Montenegro","100 [0 - 200]","2.4% [0.0% - 6.0%]","15.0% [7.7% - 22.3%]","4.1% [0.0% - 9.0%]","20.3% [11.2% - 29.7%]","11.1% [4.8% - 18.5%]","47.0% [35.6% - 58.9%]"
"Netherlands","700 [300 - 1,400]","3.8% [2.2% - 5.5%]","10.7% [8.2% - 13.5%]","5.6% [3.9% - 7.6%]","16.7% [13.5% - 19.7%]","15.5% [12.4% - 18.4%]","47.8% [43.9% - 51.9%]"
"North Macedonia","200 [0 - 300]","2.6% [0.0% - 5.7%]","11.9% [6.5% - 17.7%]","4.2% [1.0% - 7.9%]","17.9% [11.3% - 24.7%]","12.5% [6.6% - 18.3%]","51.0% [41.6% - 59.5%]"
"Norway","0 [0 - 100]","5.8% [0.0% - 14.7%]","15.4% [3.8% - 29.2%]","8.4% [0.0% - 19.3%]","18.3% [5.5% - 31.9%]","16.9% [4.5% - 30.5%]","35.2% [19.9% - 50.8%]"
"Portugal","300 [100 - 600]","3.2% [1.2% - 5.7%]","19.6% [14.6% - 24.3%]","5.0% [2.6% - 8.0%]","22.2% [17.2% - 27.5%]","11.4% [7.5% - 15.4%]","38.6% [32.4% - 44.6%]"
"San Marino","0 [0 - 100]","2.3% [0.0% - 50.0%]","9.6% [0.0% - 100.0%]","4.3% [0.0% - 50.0%]","15.5% [0.0% - 100.0%]","13.4% [0.0% - 100.0%]","55.0% [0.0% - 100.0%]"
"Scotland & Northern Ireland","600 [200 - 1,100]","4.1% [2.4% - 6.0%]","12.9% [9.9% - 15.9%]","6.2% [4.2% - 8.5%]","18.3% [14.7% - 21.5%]","14.7% [11.7% - 17.7%]","43.8% [39.2% - 48.6%]"
"Serbia","200 [0 - 400]","2.5% [0.5% - 5.2%]","10.8% [6.1% - 15.8%]","4.2% [1.2% - 7.7%]","17.6% [12.0% - 23.5%]","12.5% [7.4% - 17.9%]","52.4% [44.7% - 60.1%]"
"Slovenia","200 [0 - 300]","2.7% [0.3% - 5.9%]","10.1% [5.3% - 15.0%]","5.0% [1.7% - 9.0%]","16.9% [10.7% - 23.3%]","13.7% [8.2% - 19.9%]","51.6% [43.5% - 60.2%]"
"Spain","2,800 [2,700 - 2,900]","3.3% [3.0% - 3.7%]","7.9% [7.5% - 8.2%]","5.4% [5.0% - 5.8%]","13.9% [13.5% - 14.3%]","18.0% [17.1% - 18.8%]","51.5% [50.7% - 52.6%]"
"Sweden","900 [400 - 1,700]","5.9% [4.3% - 7.7%]","15.1% [12.4% - 17.6%]","8.6% [6.7% - 10.7%]","18.9% [16.2% - 21.6%]","16.0% [13.3% - 18.8%]","35.5% [32.0% - 39.1%]"
"Switzerland","300 [100 - 600]","5.8% [3.0% - 9.0%]","10.6% [7.0% - 14.4%]","7.9% [4.8% - 11.3%]","15.2% [10.6% - 19.9%]","18.5% [13.6% - 23.4%]","41.9% [36.1% - 47.9%]"
"Tajikistan","200 [100 - 200]","3.4% [0.7% - 6.4%]","9.8% [5.2% - 14.6%]","5.4% [2.2% - 9.3%]","16.0% [10.1% - 22.4%]","17.6% [11.9% - 23.4%]","47.8% [40.2% - 55.6%]"
"Turkey","6,200 [2,900 - 10,900]","2.7% [2.2% - 3.2%]","11.8% [10.8% - 12.7%]","4.3% [3.7% - 4.9%]","17.2% [16.1% - 18.3%]","15.4% [14.4% - 16.5%]","48.6% [47.2% - 50.0%]"
"Uzbekistan","300 [100 - 500]","4.2% [1.7% - 7.0%]","16.6% [12.1% - 21.6%]","5.7% [2.5% - 9.1%]","19.8% [14.7% - 24.9%]","14.4% [9.9% - 19.1%]","39.4% [32.8% - 45.8%]"
"Bangladesh","5,900 [2,800 - 10,200]","3.4% [2.9% - 4.0%]","13.8% [12.8% - 14.8%]","5.2% [4.5% - 5.8%]","18.6% [17.4% - 19.7%]","15.7% [14.8% - 16.7%]","43.3% [41.9% - 44.6%]"
"Bhutan","0 [0 - 100]","5.3% [0.0% - 100.0%]","24.8% [0.0% - 100.0%]","6.1% [0.0% - 100.0%]","21.6% [0.0% - 100.0%]","16.9% [0.0% - 100.0%]","25.4% [0.0% - 100.0%]"
"India","1,917,100 [1,905,000 - 1,928,300]","2.7% [2.6% - 2.8%]","11.2% [11.1% - 11.4%]","4.2% [4.0% - 4.3%]","17.0% [16.8% - 17.2%]","15.2% [15.0% - 15.4%]","49.8% [49.5% - 50.0%]"
"Indonesia","57,600 [32,900 - 90,200]","2.1% [1.9% - 2.3%]","8.5% [8.2% - 8.8%]","3.6% [3.4% - 3.9%]","14.8% [14.4% - 15.2%]","16.0% [15.6% - 16.5%]","54.9% [54.4% - 55.5%]"
"Maldives","0 [0 - 100]","7.1% [0.0% - 17.9%]","21.8% [7.1% - 36.9%]","8.9% [0.0% - 19.4%]","20.4% [7.9% - 34.4%]","14.8% [4.1% - 28.2%]","27.0% [12.9% - 43.5%]"
"Myanmar","5,400 [2,900 - 9,200]","2.4% [1.9% - 2.9%]","9.0% [8.1% - 9.8%]","4.0% [3.4% - 4.6%]","15.2% [14.1% - 16.3%]","16.2% [15.1% - 17.3%]","53.2% [51.8% - 54.8%]"
"Nepal","1,700 [800 - 2,900]","3.7% [2.7% - 4.7%]","12.9% [11.1% - 14.8%]","5.6% [4.5% - 6.9%]","17.7% [15.8% - 19.8%]","18.4% [16.3% - 20.4%]","41.7% [39.2% - 44.2%]"
"Sri Lanka","4,500 [2,400 - 7,500]","2.3% [1.8% - 2.8%]","11.5% [10.3% - 12.6%]","3.9% [3.3% - 4.6%]","17.5% [16.2% - 18.6%]","14.3% [13.2% - 15.5%]","50.5% [49.0% - 52.2%]"
"Thailand","1,200 [500 - 2,300]","1.5% [0.8% - 2.3%]","9.3% [7.5% - 11.0%]","2.6% [1.6% - 3.6%]","15.8% [13.4% - 18.1%]","11.0% [9.1% - 13.1%]","59.9% [56.8% - 63.0%]"
"Timor-Leste","200 [100 - 300]","2.3% [0.4% - 4.9%]","4.3% [1.8% - 7.4%]","3.7% [1.4% - 6.3%]","11.5% [7.1% - 16.0%]","15.1% [9.9% - 20.0%]","63.1% [56.1% - 69.9%]"
"Australia","300 [100 - 500]","5.3% [2.4% - 8.4%]","12.7% [8.3% - 17.3%]","7.9% [4.2% - 12.0%]","17.3% [12.4% - 22.6%]","17.7% [12.8% - 23.0%]","39.2% [32.1% - 46.1%]"
"Brunei Darussalam","0 [0 - 100]","5.4% [0.0% - 22.3%]","14.3% [0.0% - 40.0%]","6.8% [0.0% - 25.0%]","17.4% [0.0% - 44.5%]","16.5% [0.0% - 40.1%]","39.6% [11.1% - 70.0%]"
"Cambodia","1,600 [900 - 2,400]","3.9% [2.9% - 4.9%]","13.2% [11.4% - 15.0%]","5.9% [4.7% - 7.2%]","18.2% [16.0% - 20.2%]","16.4% [14.4% - 18.2%]","42.5% [40.0% - 45.1%]"
"China","600 [200 - 1,100]","1.8% [0.7% - 3.1%]","10.0% [7.5% - 12.8%]","3.0% [1.6% - 4.6%]","16.4% [13.2% - 19.9%]","10.7% [8.1% - 13.5%]","58.1% [53.3% - 62.4%]"
"Fiji","600 [300 - 800]","3.0% [1.5% - 4.6%]","16.9% [13.5% - 20.5%]","5.1% [3.2% - 6.8%]","20.2% [16.8% - 23.6%]","13.8% [11.0% - 16.7%]","41.1% [37.0% - 45.3%]"
"Japan","900 [400 - 1,700]","5.7% [3.9% - 7.6%]","14.8% [12.2% - 17.6%]","8.9% [6.7% - 11.2%]","19.7% [16.9% - 22.6%]","15.8% [13.3% - 18.7%]","35.1% [31.5% - 38.5%]"
"Lao People's Democratic Republic","0 [0 - 100]","4.1% [0.0% - 11.8%]","13.2% [3.0% - 25.0%]","5.8% [0.0% - 14.3%]","18.2% [5.9% - 30.7%]","17.1% [6.3% - 29.1%]","41.6% [26.6% - 56.8%]"
"Malaysia","5,900 [3,000 - 10,300]","3.6% [3.0% - 4.2%]","9.7% [8.8% - 10.6%]","5.3% [4.6% - 6.1%]","15.6% [14.5% - 16.8%]","17.9% [16.7% - 19.0%]","48.0% [46.4% - 49.5%]"
"Mongolia","1,700 [1,100 - 2,200]","2.0% [1.3% - 2.8%]","4.1% [3.1% - 5.2%]","3.8% [2.8% - 4.9%]","10.1% [8.5% - 11.7%]","18.1% [16.0% - 20.2%]","61.9% [59.2% - 64.5%]"
"New Zealand","0 [0 - 100]","4.2% [0.0% - 33.4%]","14.7% [0.0% - 60.0%]","6.8% [0.0% - 33.5%]","18.3% [0.0% - 60.0%]","15.7% [0.0% - 60.0%]","40.3% [0.0% - 83.4%]"
"Papua New Guinea","600 [500 - 700]","3.3% [2.0% - 4.8%]","11.4% [9.0% - 14.0%]","5.1% [3.4% - 7.1%]","17.2% [14.3% - 20.3%]","16.9% [13.9% - 20.0%]","46.1% [41.9% - 50.1%]"
"Philippines","16,300 [16,000 - 16,700]","6.0% [5.7% - 6.2%]","8.7% [8.5% - 9.0%]","9.8% [9.5% - 10.1%]","13.8% [13.5% - 14.1%]","26.5% [25.9% - 27.1%]","35.2% [34.6% - 35.8%]"
"Republic of Korea","100 [0 - 200]","1.5% [0.0% - 5.4%]","5.3% [0.0% - 11.8%]","2.8% [0.0% - 7.7%]","11.7% [4.2% - 20.5%]","13.6% [5.2% - 22.9%]","65.1% [51.7% - 77.2%]"
"Singapore","0 [0 - 100]","4.9% [0.0% - 18.2%]","12.9% [0.0% - 33.4%]","6.9% [0.0% - 23.6%]","16.5% [0.0% - 41.7%]","18.5% [0.0% - 41.7%]","40.3% [13.3% - 71.5%]"
"Vanuatu","0 [0 - 100]","2.8% [0.0% - 50.0%]","8.6% [0.0% - 50.0%]","4.4% [0.0% - 50.0%]","13.7% [0.0% - 50.0%]","20.1% [0.0% - 100.0%]","50.5% [0.0% - 100.0%]"
"Viet Nam","5,700 [2,900 - 9,300]","2.6% [2.1% - 3.1%]","9.4% [8.6% - 10.4%]","4.1% [3.4% - 4.6%]","15.8% [14.8% - 16.9%]","14.5% [13.5% - 15.5%]","53.7% [52.1% - 55.1%]"
