"country","Total Orphans","Maternal 0-4","Paternal 0-4","Maternal 5-9","Paternal 5-9","Maternal 10-17","Paternal 10-17"
"Tunisia","8,000 [4,400 - 12,600]","1.1% [0.8% - 1.5%]","1.7% [1.3% - 2.0%]","2.2% [1.8% - 2.7%]","6.5% [5.8% - 7.3%]","14.6% [13.5% - 15.9%]","73.8% [72.3% - 75.2%]"
"United Arab Emirates","100 [0 - 300]","12.0% [6.0% - 19.2%]","42.3% [32.8% - 52.2%]","11.8% [5.6% - 19.2%]","17.4% [10.6% - 24.8%]","8.8% [3.6% - 14.7%]","7.7% [3.1% - 13.4%]"
"Yemen","3,000 [2,600 - 3,300]","4.5% [3.7% - 5.3%]","11.2% [10.0% - 12.5%]","7.2% [6.2% - 8.2%]","16.7% [15.3% - 18.1%]","21.3% [19.8% - 22.8%]","39.2% [37.4% - 41.0%]"
"Albania","100 [0 - 200]","3.5% [0.0% - 8.6%]","9.2% [2.9% - 16.3%]","4.8% [0.0% - 10.1%]","16.0% [7.4% - 25.6%]","14.5% [7.3% - 22.9%]","52.0% [39.8% - 65.1%]"
"Andorra","0 [0 - 100]","0.5% [0.0% - 0.1%]","4.0% [0.0% - 100.0%]","1.4% [0.0% - 0.1%]","13.5% [0.0% - 100.0%]","10.9% [0.0% - 100.0%]","69.8% [0.0% - 100.0%]"
"Armenia","300 [100 - 600]","2.2% [0.5% - 4.1%]","7.9% [4.7% - 11.3%]","3.6% [1.5% - 6.1%]","14.9% [10.6% - 19.4%]","13.2% [9.4% - 17.3%]","58.2% [52.2% - 63.9%]"
"Austria","300 [100 - 600]","3.3% [1.4% - 5.6%]","10.3% [6.7% - 13.9%]","5.0% [2.6% - 7.7%]","16.5% [12.2% - 21.1%]","14.2% [10.3% - 17.9%]","50.8% [44.6% - 57.1%]"
"Azerbaijan","600 [300 - 1,100]","2.1% [0.9% - 3.4%]","11.4% [8.7% - 14.3%]","3.7% [2.2% - 5.3%]","17.1% [13.9% - 20.3%]","13.2% [10.2% - 16.4%]","52.5% [48.2% - 56.8%]"
"Belgium","1,100 [500 - 2,200]","3.9% [2.7% - 5.3%]","12.4% [10.3% - 14.6%]","6.2% [4.7% - 7.8%]","17.8% [15.4% - 20.4%]","15.5% [13.2% - 18.0%]","44.2% [40.9% - 47.3%]"
"Bosnia and Herzegovina","100 [0 - 300]","1.4% [0.0% - 3.8%]","7.7% [3.1% - 12.9%]","2.4% [0.0% - 5.7%]","14.7% [8.5% - 21.7%]","10.1% [5.1% - 16.0%]","63.8% [55.2% - 72.6%]"
"Croatia","200 [0 - 400]","3.1% [0.8% - 6.0%]","15.2% [9.6% - 21.5%]","5.1% [2.1% - 9.1%]","20.3% [14.2% - 26.9%]","12.4% [7.0% - 17.9%]","43.9% [35.5% - 52.5%]"
"Cyprus","0 [0 - 100]","3.9% [0.0% - 25.0%]","13.1% [0.0% - 42.9%]","5.5% [0.0% - 28.6%]","17.9% [0.0% - 50.0%]","13.9% [0.0% - 42.9%]","45.7% [0.0% - 83.4%]"
"Denmark","100 [0 - 300]","5.7% [1.4% - 10.4%]","22.0% [14.8% - 29.5%]","7.8% [3.3% - 12.9%]","21.2% [14.0% - 29.0%]","13.7% [7.5% - 19.7%]","29.7% [21.6% - 38.1%]"
"England & Wales","10,400 [10,200 - 10,700]","4.2% [3.9% - 4.4%]","10.2% [9.9% - 10.4%]","6.6% [6.3% - 6.9%]","16.9% [16.6% - 17.3%]","16.4% [15.9% - 16.9%]","45.8% [45.1% - 46.4%]"
"Estonia","100 [0 - 100]","3.1% [0.0% - 8.9%]","15.6% [6.0% - 27.3%]","5.5% [0.0% - 13.0%]","20.5% [9.2% - 31.9%]","13.1% [3.7% - 23.6%]","42.1% [27.4% - 56.2%]"
"Finland","0 [0 - 100]","5.8% [0.0% - 17.9%]","15.0% [0.0% - 31.6%]","8.3% [0.0% - 22.3%]","19.2% [4.7% - 37.5%]","16.3% [0.0% - 34.7%]","35.4% [14.2% - 57.2%]"
"France","5,300 [5,100 - 5,500]","3.2% [2.9% - 3.5%]","8.4% [8.0% - 8.7%]","5.6% [5.3% - 6.0%]","15.2% [14.7% - 15.5%]","17.6% [16.8% - 18.4%]","50.0% [49.3% - 50.9%]"
"Georgia","900 [400 - 1,700]","2.4% [1.4% - 3.6%]","8.4% [6.6% - 10.4%]","4.4% [3.0% - 6.0%]","15.7% [13.2% - 18.5%]","14.0% [11.5% - 16.5%]","55.1% [51.3% - 58.5%]"
"Germany","2,400 [2,200 - 2,500]","3.4% [3.1% - 3.9%]","10.0% [9.4% - 10.5%]","5.2% [4.8% - 5.7%]","16.1% [15.6% - 16.6%]","15.0% [14.1% - 15.9%]","50.2% [49.2% - 51.3%]"
"Greece","200 [0 - 400]","2.8% [0.5% - 5.6%]","15.7% [10.7% - 21.3%]","4.9% [1.9% - 8.5%]","20.5% [14.5% - 26.3%]","12.4% [7.7% - 17.7%]","43.8% [36.3% - 51.0%]"
"Iceland","0 [0 - 100]","6.2% [0.0% - 100.0%]","13.4% [0.0% - 100.0%]","8.4% [0.0% - 100.0%]","16.3% [0.0% - 100.0%]","18.4% [0.0% - 100.0%]","37.3% [0.0% - 100.0%]"
"Ireland","300 [100 - 500]","5.3% [2.7% - 8.3%]","8.2% [4.7% - 12.1%]","8.0% [4.6% - 11.7%]","13.1% [9.3% - 17.2%]","22.9% [17.5% - 28.1%]","42.4% [35.6% - 49.1%]"
"Israel","5,500 [3,400 - 7,900]","3.8% [3.2% - 4.5%]","5.7% [5.0% - 6.5%]","6.3% [5.5% - 7.2%]","11.9% [10.8% - 13.0%]","22.7% [21.3% - 24.1%]","49.6% [48.0% - 51.3%]"
"Italy","3,800 [3,700 - 3,900]","2.3% [2.0% - 2.6%]","7.8% [7.5% - 8.1%]","4.4% [4.1% - 4.8%]","15.1% [14.8% - 15.5%]","15.1% [14.4% - 15.8%]","55.4% [54.5% - 56.1%]"
"Kazakhstan","6,300 [3,400 - 10,200]","2.2% [1.8% - 2.7%]","7.7% [6.8% - 8.4%]","4.3% [3.7% - 4.9%]","14.2% [13.1% - 15.3%]","16.0% [14.8% - 17.2%]","55.6% [54.0% - 57.1%]"
"Kosovo","200 [100 - 500]","3.3% [0.9% - 6.1%]","14.8% [10.4% - 19.7%]","5.1% [2.3% - 8.5%]","18.9% [13.8% - 24.3%]","15.7% [11.1% - 20.5%]","42.2% [35.6% - 49.0%]"
"Kyrgyzstan","1,500 [800 - 2,300]","3.0% [2.1% - 4.0%]","10.0% [8.4% - 11.6%]","5.1% [3.9% - 6.3%]","16.4% [14.5% - 18.5%]","16.2% [14.0% - 18.2%]","49.3% [46.5% - 51.9%]"
"Latvia","100 [0 - 300]","2.5% [0.0% - 5.6%]","15.1% [9.1% - 21.5%]","4.3% [1.1% - 8.2%]","20.1% [13.6% - 27.2%]","11.3% [6.2% - 17.2%]","46.6% [37.9% - 55.3%]"
"Liechtenstein","0 [0 - 100]","11.5% [0.0% - 100.0%]","6.3% [0.0% - 100.0%]","15.1% [0.0% - 100.0%]","10.6% [0.0% - 100.0%]","30.2% [0.0% - 100.0%]","26.3% [0.0% - 100.0%]"
"Lithuania","200 [100 - 500]","2.1% [0.4% - 4.3%]","8.6% [4.8% - 12.6%]","3.8% [1.5% - 6.6%]","15.8% [11.4% - 21.1%]","12.6% [8.3% - 17.1%]","57.2% [50.2% - 63.2%]"
"Luxembourg","0 [0 - 100]","10.3% [0.0% - 26.7%]","14.7% [0.0% - 36.4%]","11.3% [0.0% - 30.8%]","15.5% [0.0% - 36.4%]","20.8% [0.0% - 44.5%]","27.3% [6.2% - 50.0%]"
"Malta","0 [0 - 100]","6.0% [0.0% - 25.0%]","17.5% [0.0% - 41.2%]","8.0% [0.0% - 28.6%]","20.7% [0.0% - 50.0%]","13.9% [0.0% - 40.0%]","33.9% [7.6% - 66.7%]"
"Monaco","0 [0 - 100]","20.1% [0.0% - 100.0%]","15.3% [0.0% - 100.0%]","22.7% [0.0% - 100.0%]","12.0% [0.0% - 100.0%]","19.1% [0.0% - 100.0%]","10.8% [0.0% - 100.0%]"
"Montenegro","100 [0 - 200]","2.2% [0.0% - 5.7%]","13.7% [6.8% - 21.7%]","3.7% [0.0% - 8.1%]","19.4% [10.8% - 27.8%]","11.4% [4.7% - 19.2%]","49.7% [39.0% - 60.8%]"
"Netherlands","700 [300 - 1,400]","3.7% [2.3% - 5.4%]","10.6% [8.3% - 13.0%]","5.5% [3.6% - 7.7%]","16.7% [13.6% - 19.4%]","15.4% [12.4% - 18.4%]","48.0% [44.4% - 51.9%]"
"North Macedonia","200 [0 - 300]","2.5% [0.0% - 5.7%]","11.4% [6.5% - 16.9%]","4.0% [0.9% - 8.0%]","17.6% [11.1% - 24.6%]","12.5% [7.0% - 18.5%]","52.0% [43.6% - 60.1%]"
"Norway","0 [0 - 100]","6.0% [0.0% - 14.8%]","15.1% [3.9% - 27.8%]","8.2% [0.0% - 18.6%]","18.6% [5.5% - 32.5%]","16.8% [5.4% - 30.8%]","35.3% [19.4% - 52.2%]"
"Portugal","300 [100 - 600]","3.0% [1.1% - 5.3%]","18.1% [13.6% - 23.3%]","4.7% [2.4% - 7.2%]","21.4% [16.4% - 26.4%]","11.8% [8.0% - 16.2%]","41.1% [34.9% - 47.4%]"
"San Marino","0 [0 - 100]","3.0% [0.0% - 50.0%]","8.3% [0.0% - 100.0%]","4.3% [0.0% - 50.0%]","15.6% [0.0% - 100.0%]","12.9% [0.0% - 100.0%]","55.9% [0.0% - 100.0%]"
"Scotland & Northern Ireland","600 [200 - 1,000]","3.8% [2.1% - 5.8%]","12.4% [9.6% - 15.6%]","5.9% [3.9% - 8.2%]","17.8% [14.4% - 21.4%]","14.8% [11.5% - 18.0%]","45.2% [40.8% - 49.7%]"
"Serbia","200 [0 - 400]","2.4% [0.4% - 4.9%]","10.3% [6.1% - 14.9%]","3.9% [1.2% - 6.9%]","17.5% [12.1% - 23.5%]","12.4% [7.5% - 17.5%]","53.6% [45.7% - 61.6%]"
"Slovenia","200 [0 - 300]","2.6% [0.0% - 5.4%]","9.1% [4.9% - 14.3%]","4.5% [1.2% - 8.3%]","16.2% [10.5% - 21.9%]","13.7% [8.5% - 19.7%]","53.9% [45.7% - 61.5%]"
"Spain","2,800 [2,700 - 2,900]","3.3% [3.0% - 3.7%]","7.9% [7.5% - 8.2%]","5.4% [5.0% - 5.9%]","13.9% [13.4% - 14.3%]","18.0% [17.1% - 18.9%]","51.5% [50.6% - 52.6%]"
"Sweden","900 [400 - 1,600]","5.7% [4.1% - 7.4%]","14.6% [12.0% - 17.3%]","8.4% [6.5% - 10.3%]","18.7% [16.1% - 21.5%]","16.2% [13.7% - 18.8%]","36.5% [33.2% - 39.8%]"
"Switzerland","300 [100 - 600]","5.9% [3.1% - 8.8%]","11.0% [7.4% - 14.8%]","8.3% [5.1% - 11.9%]","15.6% [11.1% - 20.7%]","18.6% [14.0% - 23.4%]","40.7% [34.8% - 46.9%]"
"Tajikistan","200 [100 - 200]","3.4% [0.6% - 6.5%]","10.0% [5.7% - 14.8%]","5.6% [2.4% - 9.8%]","16.1% [10.4% - 22.7%]","17.7% [11.8% - 24.1%]","47.3% [39.4% - 55.1%]"
"Turkey","6,100 [2,900 - 10,600]","2.6% [2.1% - 3.1%]","11.6% [10.7% - 12.6%]","4.3% [3.7% - 4.9%]","17.1% [16.1% - 18.1%]","15.5% [14.5% - 16.4%]","48.9% [47.4% - 50.4%]"
"Uzbekistan","200 [100 - 500]","4.2% [1.8% - 7.0%]","16.6% [11.7% - 21.9%]","5.7% [2.9% - 9.0%]","19.7% [14.5% - 25.3%]","14.4% [9.8% - 19.4%]","39.5% [33.1% - 46.4%]"
"Bangladesh","6,100 [3,000 - 10,500]","3.4% [2.9% - 4.0%]","13.9% [12.9% - 14.9%]","5.2% [4.5% - 5.8%]","18.6% [17.5% - 19.7%]","15.7% [14.7% - 16.7%]","43.2% [41.9% - 44.4%]"
"Bhutan","0 [0 - 100]","8.3% [0.0% - 100.0%]","26.5% [0.0% - 100.0%]","6.3% [0.0% - 100.0%]","20.2% [0.0% - 100.0%]","13.3% [0.0% - 100.0%]","25.3% [0.0% - 100.0%]"
"India","1,917,100 [1,906,300 - 1,928,100]","2.7% [2.6% - 2.8%]","11.2% [11.1% - 11.4%]","4.2% [4.1% - 4.3%]","17.0% [16.8% - 17.2%]","15.2% [15.0% - 15.4%]","49.8% [49.5% - 50.0%]"
"Indonesia","58,700 [34,100 - 90,700]","2.1% [1.9% - 2.3%]","8.5% [8.2% - 8.8%]","3.6% [3.4% - 3.9%]","14.8% [14.4% - 15.2%]","16.1% [15.6% - 16.5%]","55.0% [54.4% - 55.5%]"
"Maldives","0 [0 - 100]","7.6% [0.0% - 17.7%]","22.2% [8.6% - 38.2%]","8.9% [0.0% - 20.6%]","20.4% [7.4% - 34.5%]","14.4% [3.2% - 27.3%]","26.4% [12.8% - 43.8%]"
"Myanmar","5,600 [3,000 - 9,400]","2.4% [1.9% - 2.9%]","9.0% [8.2% - 9.8%]","4.0% [3.5% - 4.6%]","15.2% [14.2% - 16.3%]","16.2% [15.2% - 17.2%]","53.1% [51.7% - 54.5%]"
"Nepal","1,800 [800 - 3,000]","3.8% [2.8% - 4.8%]","13.4% [11.8% - 15.2%]","5.7% [4.6% - 7.0%]","17.9% [15.8% - 19.8%]","18.3% [16.3% - 20.3%]","40.9% [38.3% - 43.4%]"
"Sri Lanka","4,600 [2,500 - 7,600]","2.2% [1.7% - 2.7%]","11.0% [9.9% - 12.0%]","3.8% [3.2% - 4.5%]","17.0% [15.9% - 18.2%]","14.3% [13.1% - 15.5%]","51.8% [50.1% - 53.4%]"
"Thailand","1,300 [600 - 2,400]","1.4% [0.7% - 2.1%]","8.8% [7.0% - 10.5%]","2.5% [1.5% - 3.4%]","15.3% [13.2% - 17.5%]","11.1% [9.3% - 12.9%]","61.0% [58.1% - 63.6%]"
"Timor-Leste","200 [100 - 300]","2.4% [0.5% - 4.8%]","4.6% [1.9% - 7.6%]","3.9% [1.4% - 6.6%]","12.0% [7.9% - 16.5%]","15.0% [10.3% - 20.4%]","62.1% [55.2% - 68.3%]"
"Australia","300 [100 - 500]","5.4% [2.7% - 8.3%]","12.8% [8.4% - 17.5%]","7.8% [4.6% - 11.3%]","17.1% [12.2% - 21.8%]","17.7% [12.9% - 22.7%]","39.2% [33.3% - 45.5%]"
"Brunei Darussalam","0 [0 - 100]","5.6% [0.0% - 22.3%]","14.7% [0.0% - 40.0%]","7.3% [0.0% - 27.3%]","18.3% [0.0% - 41.7%]","16.9% [0.0% - 40.1%]","37.1% [9.9% - 66.7%]"
"Cambodia","1,600 [900 - 2,400]","3.8% [2.8% - 4.9%]","13.1% [11.3% - 14.9%]","5.9% [4.6% - 7.2%]","18.2% [16.3% - 20.3%]","16.4% [14.4% - 18.5%]","42.6% [40.1% - 45.1%]"
"China","600 [300 - 1,100]","1.7% [0.6% - 2.9%]","9.3% [6.8% - 11.8%]","2.8% [1.4% - 4.3%]","15.9% [12.9% - 18.9%]","10.6% [8.0% - 13.4%]","59.7% [55.6% - 63.9%]"
"Fiji","600 [300 - 800]","2.8% [1.5% - 4.3%]","15.8% [12.8% - 19.0%]","4.8% [3.0% - 6.8%]","19.6% [16.4% - 22.9%]","14.1% [11.2% - 17.1%]","43.0% [39.0% - 47.3%]"
"Japan","1,000 [400 - 1,800]","5.4% [3.8% - 7.1%]","13.8% [11.3% - 16.2%]","8.5% [6.7% - 10.6%]","19.2% [16.5% - 22.1%]","15.9% [13.5% - 18.7%]","37.1% [33.9% - 40.3%]"
"Lao People's Democratic Republic","0 [0 - 100]","4.0% [0.0% - 10.6%]","13.6% [3.8% - 24.3%]","6.0% [0.0% - 14.3%]","18.2% [6.4% - 29.8%]","17.1% [5.9% - 29.8%]","41.1% [26.0% - 56.9%]"
"Malaysia","6,200 [3,200 - 10,500]","3.8% [3.2% - 4.4%]","10.2% [9.4% - 11.2%]","5.6% [4.9% - 6.3%]","16.0% [14.8% - 17.1%]","17.8% [16.7% - 19.0%]","46.6% [45.1% - 48.0%]"
"Mongolia","1,700 [1,100 - 2,200]","2.1% [1.3% - 2.8%]","4.2% [3.1% - 5.3%]","3.9% [2.9% - 4.9%]","10.4% [8.9% - 12.0%]","18.2% [16.3% - 20.3%]","61.3% [58.6% - 63.9%]"
"New Zealand","0 [0 - 100]","4.3% [0.0% - 25.0%]","14.5% [0.0% - 50.0%]","6.1% [0.0% - 33.4%]","19.3% [0.0% - 66.7%]","16.2% [0.0% - 50.0%]","39.6% [0.0% - 85.8%]"
"Papua New Guinea","600 [500 - 700]","3.4% [2.0% - 5.1%]","11.5% [9.1% - 14.3%]","5.2% [3.3% - 7.2%]","17.3% [14.1% - 20.5%]","16.9% [14.0% - 20.1%]","45.7% [41.7% - 49.8%]"
"Philippines","16,300 [16,000 - 16,700]","6.0% [5.7% - 6.2%]","8.7% [8.5% - 9.0%]","9.8% [9.5% - 10.1%]","13.8% [13.5% - 14.1%]","26.5% [26.0% - 27.1%]","35.2% [34.6% - 35.8%]"
"Republic of Korea","100 [0 - 200]","1.6% [0.0% - 5.4%]","5.3% [0.0% - 11.8%]","2.8% [0.0% - 7.2%]","11.9% [4.3% - 20.3%]","13.5% [5.7% - 22.1%]","65.0% [53.1% - 77.0%]"
"Singapore","0 [0 - 100]","5.0% [0.0% - 18.2%]","13.6% [0.0% - 33.4%]","7.1% [0.0% - 22.3%]","16.4% [0.0% - 38.5%]","18.6% [0.0% - 40.0%]","39.3% [14.2% - 64.8%]"
"Vanuatu","0 [0 - 100]","2.5% [0.0% - 50.0%]","8.3% [0.0% - 50.0%]","4.0% [0.0% - 50.0%]","15.5% [0.0% - 100.0%]","17.8% [0.0% - 100.0%]","51.9% [0.0% - 100.0%]"
"Viet Nam","5,800 [3,100 - 9,400]","2.6% [2.1% - 3.1%]","9.5% [8.6% - 10.4%]","4.0% [3.5% - 4.6%]","15.8% [14.9% - 16.9%]","14.5% [13.4% - 15.5%]","53.6% [52.2% - 55.2%]"
